sequence_id,sequence_label,adc_samples,tool_key,tool_label,run,total_ms,total_seconds,median_seconds,q1_seconds,q3_seconds,status,error_type,error_message
writeEpi_label,writeEpi_label,266112,matlab,Pulseq MATLAB,4,7064.175458333333,7.064175458333333,6.912051,6.823344708333333,7.064175458333333,complete,,
writeEpi_label,writeEpi_label,266112,matlab,Pulseq MATLAB,5,6912.051,6.912051,6.912051,6.823344708333333,7.064175458333333,complete,,
writeEpi_label,writeEpi_label,266112,pypulseq,PyPulseq,1,4195.629416964948,4.195629416964948,4.004726917017251,3.955342917237431,4.006620875094086,complete,,
writeEpi_label,writeEpi_label,266112,pypulseq,PyPulseq,2,4006.620875094086,4.006620875094086,4.004726917017251,3.955342917237431,4.006620875094086,complete,,
writeEpi_label,writeEpi_label,266112,pypulseq,PyPulseq,3,4004.7269170172513,4.004726917017251,4.004726917017251,3.955342917237431,4.006620875094086,complete,,
writeEpi_label,writeEpi_label,266112,pypulseq,PyPulseq,4,3947.130249813199,3.947130249813199,4.004726917017251,3.955342917237431,4.006620875094086,complete,,
writeEpi_label,writeEpi_label,266112,pypulseq,PyPulseq,5,3955.342917237431,3.955342917237431,4.004726917017251,3.955342917237431,4.006620875094086,complete,,
writeFastRadialGradientEcho,writeFastRadialGradientEcho,122880,seqeyes,SeqEyes-Plus,1,213.40000009536743,0.21340000009536744,0.2027999997138977,0.18450000047683715,0.20940000009536744,complete,,
writeFastRadialGradientEcho,writeFastRadialGradientEcho,122880,seqeyes,SeqEyes-Plus,2,209.40000009536743,0.20940000009536744,0.2027999997138977,0.18450000047683715,0.20940000009536744,complete,,
writeFastRadialGradientEcho,writeFastRadialGradientEcho,122880,seqeyes,SeqEyes-Plus,3,183.0,0.183,0.2027999997138977,0.18450000047683715,0.20940000009536744,complete,,
writeFastRadialGradientEcho,writeFastRadialGradientEcho,122880,seqeyes,SeqEyes-Plus,4,202.7999997138977,0.2027999997138977,0.2027999997138977,0.18450000047683715,0.20940000009536744,complete,,
writeFastRadialGradientEcho,writeFastRadialGradientEcho,122880,seqeyes,SeqEyes-Plus,5,184.50000047683716,0.18450000047683715,0.2027999997138977,0.18450000047683715,0.20940000009536744,complete,,
writeFastRadialGradientEcho,writeFastRadialGradientEcho,122880,matlab,Pulseq MATLAB,1,2351.8177916666664,2.3518177916666665,1.8707838333333333,1.8529505416666667,1.8899872083333333,complete,,
writeFastRadialGradientEcho,writeFastRadialGradientEcho,122880,matlab,Pulseq MATLAB,2,1889.9872083333332,1.8899872083333333,1.8707838333333333,1.8529505416666667,1.8899872083333333,complete,,
writeFastRadialGradientEcho,writeFastRadialGradientEcho,122880,matlab,Pulseq MATLAB,3,1870.7838333333334,1.8707838333333333,1.8707838333333333,1.8529505416666667,1.8899872083333333,complete,,
writeFastRadialGradientEcho,writeFastRadialGradientEcho,122880,matlab,Pulseq MATLAB,4,1852.9505416666668,1.8529505416666667,1.8707838333333333,1.8529505416666667,1.8899872083333333,complete,,
writeFastRadialGradientEcho,writeFastRadialGradientEcho,122880,matlab,Pulseq MATLAB,5,1839.3736666666666,1.8393736666666667,1.8707838333333333,1.8529505416666667,1.8899872083333333,complete,,
writeFastRadialGradientEcho,writeFastRadialGradientEcho,122880,pypulseq,PyPulseq,1,1501.4914995990694,1.5014914995990694,1.388846458401531,1.343354457989335,1.4296396248973906,complete,,
writeFastRadialGradientEcho,writeFastRadialGradientEcho,122880,pypulseq,PyPulseq,2,1388.846458401531,1.388846458401531,1.388846458401531,1.343354457989335,1.4296396248973906,complete,,
writeFastRadialGradientEcho,writeFastRadialGradientEcho,122880,pypulseq,PyPulseq,3,1343.354457989335,1.343354457989335,1.388846458401531,1.343354457989335,1.4296396248973906,complete,,
