sequence_id,sequence_label,category,adc_samples,median_ready_ms,median_ready_seconds,is_labelled,log10_adc_samples,log10_ready_seconds,official_fit_predicted_log10_ready,official_fit_predicted_seconds,official_fit_n,official_fit_slope,official_fit_intercept,official_fit_r2
writeGRE_live_demo,writeGRE_live_demo,demoSeq,16384,54,0.054,false,4.214419939295737,-1.2676062401770314,-1.227234705355876,0.05926049770782759,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeGRE_live_demo_step0,writeGRE_live_demo_step0,demoSeq,16384,56.90000009536743,0.05690000009536743,false,4.214419939295737,-1.2448877328770283,-1.227234705355876,0.05926049770782759,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeGRE_multiEcho_label,writeGRE_multiEcho_label,demoSeq,393216,550.5999999046326,0.5505999999046326,false,5.594631181007343,-0.2591637930179111,-0.45856182865376116,0.34788697693775966,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeGRE_rfShim,writeGRE_rfShim,demoSeq,262144,337,0.337,false,5.418539921951662,-0.47237009912866135,-0.5566312911894902,0.27756756071631455,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeGradientEcho,writeGradientEcho,demoSeq,16384,54.10000038146973,0.054100000381469726,false,4.214419939295737,-1.2668027318311348,-1.227234705355876,0.05926049770782759,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeGradientEcho3D,writeGradientEcho3D,demoSeq,262144,1528.2863330000018,1.5282863330000018,false,5.418539921951662,0.1842047293653645,-0.5566312911894902,0.27756756071631455,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeGradientEcho_grappa,writeGradientEcho_grappa,demoSeq,30848,112,0.112,false,4.489227012222737,-0.9507819773298184,-1.0741880289479013,0.0842969712773266,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeGradientEcho_label,Labeled GRE,demoSeq,131072,236,0.236,true,5.11750992628768,-0.6270879970298935,-0.7242821447310863,0.1886765190722467,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeHASTE,HASTE,demoSeq,9216,90.59999990463257,0.09059999990463256,true,3.964542466079137,-1.0428718027803343,-1.3663974873676117,0.04301327519294294,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeRadialGradientEcho,writeRadialGradientEcho,demoSeq,81920,117.09999990463257,0.11709999990463257,false,4.913389943631755,-0.9314431052813307,-0.8379614783857967,0.14522404245763956,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeRadialGradientEcho_rotExt,writeRadialGradientEcho_rotExt,demoSeq,81920,117.89999961853027,0.11789999961853027,false,4.913389943631755,-0.9284861963100864,-0.8379614783857967,0.14522404245763956,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeSelectiveRf,writeSelectiveRf,demoSeq,65536,1170.1331250000003,1.1701331250000002,false,4.816479930623699,0.06823527385212107,-0.8919329982726829,0.12825284322616973,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeSpiral,Spiral,demoSeq,1535600,469.09999990463257,0.4690999999046326,true,6.1862781034453675,-0.32873456714113314,-0.12905941038740165,0.7429175017086376,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeTSE,TSE,demoSeq,65536,299.30000019073486,0.2993000001907349,true,4.816479930623699,-0.5238932828830458,-0.8919329982726829,0.12825284322616973,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeTSEprop,writeTSEprop,demoSeq,28672,504.2000002861023,0.5042000002861023,false,4.457457987982031,-0.2973971584131376,-1.0918809635619096,0.08093176959044948,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeTrufi,Trufi,demoSeq,65536,68.30000019073486,0.06830000019073486,true,4.816479930623699,-1.165579295105655,-0.8919329982726829,0.12825284322616973,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeUTE,UTE,demoSeq,131072,94.7999997138977,0.0947999997138977,true,5.11750992628768,-1.0231916639726157,-0.7242821447310863,0.1886765190722467,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeUTE_rs,writeUTE_rs,demoSeq,460800,319.5,0.3195,false,5.663512470415156,-0.49552913750558103,-0.4202001798858568,0.38001419553872634,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeZTE_Petra,ZTE PETRA,demoSeq,3383700,1116.4000000953674,1.1164000000953673,true,6.5293918513764115,0.0478198278536926,0.062028898190009674,1.1535300117790948,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
writeZTE_Petra_sodium,writeZTE_Petra_sodium,demoSeq,6994800,2925.9000000953674,2.925900000095367,false,6.844775301367069,0.466259478949607,0.23767353608465713,1.7285165259359254,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
write_demo_automatic_TRID_labels,write_demo_automatic_TRID_labels,demoSeq,4096,42.19999980926514,0.042199999809265136,false,3.612359947967774,-1.374687551001243,-1.5625364124390693,0.027381900472853316,36,0.5569240805116759,-3.574346654938227,0.5999918267458425
